"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 109.9 mm): Rectangle of X8 on F.Silkscreen;@(132.65 mm, 109.88 mm): Pad 4 [Net-(X7-RX)] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 109.9 mm): Rectangle of X8 on F.Silkscreen;@(132.15 mm, 109.88 mm): Pad 5 [GND] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 109.9 mm): Rectangle of X8 on F.Silkscreen;@(131.65 mm, 109.88 mm): Pad 6 [VDD] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(131.4 mm, 109.9 mm): Rectangle of X8 on F.Silkscreen;@(132.65 mm, 111.42 mm): Pad 3 [/Sensor Group/TX2] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 109.9 mm): Rectangle of X8 on F.Silkscreen;@(131.65 mm, 111.42 mm): Pad 1 [GND] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 109.9 mm): Rectangle of X8 on F.Silkscreen;@(132.15 mm, 111.42 mm): Pad 2 [GND] of X8 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 95.8 mm): Rectangle of X13 on F.Silkscreen;@(142.05 mm, 95.78 mm): Pad 4 [/Sensor Group/RX4] of X13 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 95.8 mm): Rectangle of X13 on F.Silkscreen;@(141.55 mm, 95.78 mm): Pad 5 [GND] of X13 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 95.8 mm): Rectangle of X13 on F.Silkscreen;@(141.05 mm, 95.78 mm): Pad 6 [VDD] of X13 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(140.8 mm, 95.8 mm): Rectangle of X13 on F.Silkscreen;@(142.05 mm, 97.32 mm): Pad 3 [Net-(X13-RX)] of X13 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 95.8 mm): Rectangle of X13 on F.Silkscreen;@(141.05 mm, 97.32 mm): Pad 1 [GND] of X13 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 95.8 mm): Rectangle of X13 on F.Silkscreen;@(141.55 mm, 97.32 mm): Pad 2 [GND] of X13 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(136.1 mm, 95.8 mm): Rectangle of X9 on F.Silkscreen;@(137.35 mm, 95.78 mm): Pad 4 [/Sensor Group/RX3] of X9 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(136.1 mm, 95.8 mm): Rectangle of X9 on F.Silkscreen;@(136.35 mm, 95.78 mm): Pad 6 [VDD] of X9 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(136.1 mm, 95.8 mm): Rectangle of X9 on F.Silkscreen;@(136.85 mm, 95.78 mm): Pad 5 [GND] of X9 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(136.1 mm, 95.8 mm): Rectangle of X9 on F.Silkscreen;@(137.35 mm, 97.32 mm): Pad 3 [Net-(X10-TX)] of X9 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(136.1 mm, 95.8 mm): Rectangle of X9 on F.Silkscreen;@(136.35 mm, 97.32 mm): Pad 1 [GND] of X9 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(136.1 mm, 95.8 mm): Rectangle of X9 on F.Silkscreen;@(136.85 mm, 97.32 mm): Pad 2 [GND] of X9 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1359 mm)","@(141.309 mm, 99.838 mm): Reference field of X14;@(141.05 mm, 100.48 mm): Pad 6 [VDD] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1359 mm)","@(141.309 mm, 99.838 mm): Reference field of X14;@(141.55 mm, 100.48 mm): Pad 5 [GND] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.1452 mm)","@(141.309 mm, 99.838 mm): Reference field of X14;@(142.05 mm, 100.48 mm): Pad 4 [Net-(X13-RX)] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 100.5 mm): Rectangle of X14 on F.Silkscreen;@(142.05 mm, 100.48 mm): Pad 4 [Net-(X13-RX)] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 100.5 mm): Rectangle of X14 on F.Silkscreen;@(141.55 mm, 100.48 mm): Pad 5 [GND] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 100.5 mm): Rectangle of X14 on F.Silkscreen;@(141.05 mm, 100.48 mm): Pad 6 [VDD] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(140.8 mm, 100.5 mm): Rectangle of X14 on F.Silkscreen;@(142.05 mm, 102.02 mm): Pad 3 [Net-(X14-RX)] of X14 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(140.8 mm, 100.5 mm): Rectangle of X14 on F.Silkscreen;@(141.05 mm, 102.02 mm): Pad 1 [GND] of X14 on F.Cu"
